2025-12-30T19:18:38.685059 INFO Script started at 2025-12-30_191838
2025-12-30T19:18:38.685450 INFO Running in FULL mode
2025-12-30T19:18:38.685776 INFO Log file: /workspaces/-cpes_csv/cpes/logs/cpes_download_2025-12-30_191838.log
2025-12-30T19:18:38.685897 INFO Fetching initial page to determine total CPE count...
2025-12-30T19:18:38.869268 INFO Total CPE entries available: 1536474
2025-12-30T19:18:38.869468 INFO Number of pages to download: 154
2025-12-30T19:18:38.872422 INFO Downloading page 1/154 (startIndex: 0, attempt: 1/5)
2025-12-30T19:18:39.786178 INFO Page 1/154 downloaded successfully, entries: 10000
2025-12-30T19:18:46.786549 INFO Downloading page 2/154 (startIndex: 10000, attempt: 1/5)
2025-12-30T19:18:47.547188 INFO Page 2/154 downloaded successfully, entries: 10000
2025-12-30T19:18:54.547642 INFO Downloading page 3/154 (startIndex: 20000, attempt: 1/5)
2025-12-30T19:18:55.336220 INFO Page 3/154 downloaded successfully, entries: 10000
2025-12-30T19:19:02.336623 INFO Downloading page 4/154 (startIndex: 30000, attempt: 1/5)
2025-12-30T19:19:03.239201 INFO Page 4/154 downloaded successfully, entries: 10000
2025-12-30T19:19:10.239659 INFO Downloading page 5/154 (startIndex: 40000, attempt: 1/5)
2025-12-30T19:19:11.043743 INFO Page 5/154 downloaded successfully, entries: 10000
2025-12-30T19:19:18.044174 INFO Downloading page 6/154 (startIndex: 50000, attempt: 1/5)
2025-12-30T19:19:18.880101 INFO Page 6/154 downloaded successfully, entries: 10000
2025-12-30T19:19:25.880527 INFO Downloading page 7/154 (startIndex: 60000, attempt: 1/5)
2025-12-30T19:19:26.635418 INFO Page 7/154 downloaded successfully, entries: 10000
2025-12-30T19:19:33.635833 INFO Downloading page 8/154 (startIndex: 70000, attempt: 1/5)
2025-12-30T19:19:34.663799 INFO Page 8/154 downloaded successfully, entries: 10000
2025-12-30T19:19:41.664174 INFO Downloading page 9/154 (startIndex: 80000, attempt: 1/5)
2025-12-30T19:19:42.482534 INFO Page 9/154 downloaded successfully, entries: 10000
2025-12-30T19:19:49.482939 INFO Downloading page 10/154 (startIndex: 90000, attempt: 1/5)
2025-12-30T19:19:50.436749 INFO Page 10/154 downloaded successfully, entries: 10000
2025-12-30T19:19:57.437183 INFO Downloading page 11/154 (startIndex: 100000, attempt: 1/5)
2025-12-30T19:19:58.344791 INFO Page 11/154 downloaded successfully, entries: 10000
2025-12-30T19:20:05.345207 INFO Downloading page 12/154 (startIndex: 110000, attempt: 1/5)
2025-12-30T19:20:06.376711 INFO Page 12/154 downloaded successfully, entries: 10000
2025-12-30T19:20:13.377195 INFO Downloading page 13/154 (startIndex: 120000, attempt: 1/5)
2025-12-30T19:20:14.612318 INFO Page 13/154 downloaded successfully, entries: 10000
2025-12-30T19:20:21.612798 INFO Downloading page 14/154 (startIndex: 130000, attempt: 1/5)
2025-12-30T19:20:22.604567 INFO Page 14/154 downloaded successfully, entries: 10000
2025-12-30T19:20:29.604970 INFO Downloading page 15/154 (startIndex: 140000, attempt: 1/5)
2025-12-30T19:20:30.639045 INFO Page 15/154 downloaded successfully, entries: 10000
2025-12-30T19:20:37.639551 INFO Downloading page 16/154 (startIndex: 150000, attempt: 1/5)
2025-12-30T19:20:38.639053 INFO Page 16/154 downloaded successfully, entries: 10000
2025-12-30T19:20:45.639466 INFO Downloading page 17/154 (startIndex: 160000, attempt: 1/5)
2025-12-30T19:20:46.564755 INFO Page 17/154 downloaded successfully, entries: 10000
2025-12-30T19:20:53.565207 INFO Downloading page 18/154 (startIndex: 170000, attempt: 1/5)
2025-12-30T19:20:54.498163 INFO Page 18/154 downloaded successfully, entries: 10000
2025-12-30T19:21:01.498616 INFO Downloading page 19/154 (startIndex: 180000, attempt: 1/5)
2025-12-30T19:21:02.381840 INFO Page 19/154 downloaded successfully, entries: 10000
2025-12-30T19:21:09.382236 INFO Downloading page 20/154 (startIndex: 190000, attempt: 1/5)
2025-12-30T19:21:10.280754 INFO Page 20/154 downloaded successfully, entries: 10000
2025-12-30T19:21:17.281230 INFO Downloading page 21/154 (startIndex: 200000, attempt: 1/5)
2025-12-30T19:21:18.320722 INFO Page 21/154 downloaded successfully, entries: 10000
2025-12-30T19:21:25.321130 INFO Downloading page 22/154 (startIndex: 210000, attempt: 1/5)
2025-12-30T19:21:26.147532 INFO Page 22/154 downloaded successfully, entries: 10000
